raw_id,design,status,static_fingerprint,selected_site_count,config_path,build_dir,build_log
raw-053,random-hybrid,duplicate-static:raw-002,97+99,2,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-053.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-053,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-053.log
raw-054,random-sync-heavy,unsafe-nonconstant-size:72,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-054,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-054.log
raw-055,random-flat,unsafe-nonconstant-size:72,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-055,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-055.log
raw-056,random-hybrid,duplicate-static:raw-003,68+97+99,3,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-056.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-056,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-056.log
raw-057,random-default,duplicate-static:raw-036,68+90+97+99,4,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-057.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-057,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-057.log
raw-058,random-worker-heavy,unsafe-nonconstant-size:72,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-058,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-058.log
raw-059,random-escape-heavy,unsafe-nonconstant-size:2+72+75+91+92+94,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-059,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-059.log
raw-060,random-default,unsafe-nonconstant-size:72+75+81+82+91+92+94,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-060,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-060.log
raw-061,random-hybrid,duplicate-static:raw-021,68+69+71+74+90+97+98+99+100,9,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-061.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-061,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-061.log
raw-062,random-flat,duplicate-static:raw-001,97,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-062.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-062,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-062.log
raw-063,random-escape-heavy,selected,90+97,2,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-063.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-063,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-063.log
raw-064,random-sync-heavy,unsafe-nonconstant-size:72,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-064,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-064.log
raw-065,random-hybrid,duplicate-static:raw-036,68+90+97+99,4,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-065.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-065,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-065.log
raw-066,random-size-heavy,duplicate-static:raw-003,68+97+99,3,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-066.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-066,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-066.log
raw-067,random-sync-heavy,unsafe-nonconstant-size:72,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-067,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-067.log
raw-068,random-size-heavy,unsafe-nonconstant-size:72,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-068,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-068.log
raw-069,random-worker-heavy,unsafe-nonconstant-size:72,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-069,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-069.log
raw-070,random-sync-heavy,unsafe-nonconstant-size:72+75+81,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-070,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-070.log
raw-071,random-default,unsafe-nonconstant-size:72+91,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-071,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-071.log
raw-072,random-sync-heavy,unsafe-nonconstant-size:2+25+27+29+33+72+75+81+82+91+92+94,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-072,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-072.log
raw-073,random-sync-heavy,unsafe-nonconstant-size:72,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-073,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-073.log
raw-074,random-escape-heavy,unsafe-nonconstant-size:2+25+27+29+33+35+38+72+75+91+92+94,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-074,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-074.log
raw-075,random-hybrid,duplicate-static:raw-021,68+69+71+74+90+97+98+99+100,9,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-075.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-075,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-075.log
raw-076,random-escape-heavy,duplicate-static:raw-036,68+90+97+99,4,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-076.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-076,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-076.log
raw-077,random-escape-heavy,unsafe-nonconstant-size:72+91,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-077,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-077.log
raw-078,random-escape-heavy,unsafe-nonconstant-size:72+91,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-078,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-078.log
raw-079,random-hybrid,duplicate-static:raw-013,68+69+71+90+97+98+99+100,8,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-079.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-079,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-079.log
raw-080,random-sync-heavy,unsafe-nonconstant-size:72,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-080,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-080.log
raw-081,random-size-heavy,selected,71+74,2,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-081.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-081,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-081.log
raw-082,random-size-heavy,selected,71,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-082.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-082,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-082.log
raw-083,random-size-heavy,unsafe-nonconstant-size:72,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-083,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-083.log
raw-084,random-size-heavy,unsafe-nonconstant-size:72,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-084,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-084.log
raw-085,random-sync-heavy,duplicate-static:raw-013,68+69+71+90+97+98+99+100,8,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-085.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-085,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-085.log
