phase,candidate,replicate,position,requested_mode,benchmark,workload,config,repeat,actual_mode,elapsed_sec,interval_sec,interval_ops,interval_ops_per_sec,cumulative_ops,cumulative_ops_per_sec,final,log
screen,raw-028,1,30,local,xindex,a,hotset-use-local,1,local,5.00309,5.00309,138190848,2.76211e+07,138190848,2.76211e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/030-screen-raw-028-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-028,1,30,local,xindex,a,hotset-use-local,1,local,10.0008,4.99768,137647872,2.75423e+07,275838720,2.75817e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/030-screen-raw-028-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-028,1,30,local,xindex,a,hotset-use-local,1,local,15.0042,5.00339,137716878,2.75247e+07,413555598,2.75627e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/030-screen-raw-028-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-028,1,31,cxl,xindex,a,hotset-use-target,1,remote,5.0032,5.0032,144994816,2.89804e+07,144994816,2.89804e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/031-screen-raw-028-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-028,1,31,cxl,xindex,a,hotset-use-target,1,remote,10.0004,4.99717,144214528,2.88592e+07,289209344,2.89199e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/031-screen-raw-028-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-028,1,31,cxl,xindex,a,hotset-use-target,1,remote,15.0029,5.00256,144608967,2.8907e+07,433818311,2.89156e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/031-screen-raw-028-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-033,1,36,cxl,xindex,a,hotset-use-target,1,remote,5.00047,5.00047,184670464,3.69306e+07,184670464,3.69306e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/036-screen-raw-033-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-033,1,36,cxl,xindex,a,hotset-use-target,1,remote,10.0021,5.00162,188512768,3.76903e+07,373183232,3.73105e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/036-screen-raw-033-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-033,1,36,cxl,xindex,a,hotset-use-target,1,remote,15.0037,5.0016,186631367,3.73143e+07,559814599,3.73118e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/036-screen-raw-033-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-033,1,37,local,xindex,a,hotset-use-local,1,local,5.00048,5.00048,134987520,2.69949e+07,134987520,2.69949e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/037-screen-raw-033-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-033,1,37,local,xindex,a,hotset-use-local,1,local,10.0006,5.00009,135709696,2.71414e+07,270697216,2.70682e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/037-screen-raw-033-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-033,1,37,local,xindex,a,hotset-use-local,1,local,15.0019,5.0013,136569287,2.73068e+07,407266503,2.71477e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/037-screen-raw-033-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-039,1,40,cxl,xindex,a,hotset-use-target,1,remote,5.00309,5.00309,132356864,2.6455e+07,132356864,2.6455e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/040-screen-raw-039-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-039,1,40,cxl,xindex,a,hotset-use-target,1,remote,10.0004,4.99727,132311296,2.64767e+07,264668160,2.64658e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/040-screen-raw-039-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-039,1,40,cxl,xindex,a,hotset-use-target,1,remote,15.0018,5.00143,132990950,2.65906e+07,397659110,2.65074e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/040-screen-raw-039-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-039,1,41,local,xindex,a,hotset-use-local,1,local,5.00047,5.00047,145071360,2.90116e+07,145071360,2.90116e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/041-screen-raw-039-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-039,1,41,local,xindex,a,hotset-use-local,1,local,10.0005,5,145953024,2.91906e+07,291024384,2.91011e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/041-screen-raw-039-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-039,1,41,local,xindex,a,hotset-use-local,1,local,15.0029,5.00247,144447150,2.88751e+07,435471534,2.90257e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/041-screen-raw-039-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-042,1,42,local,xindex,a,hotset-use-local,1,local,5.00129,5.00129,143870976,2.87668e+07,143870976,2.87668e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/042-screen-raw-042-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-042,1,42,local,xindex,a,hotset-use-local,1,local,10.0005,4.99918,143452160,2.86951e+07,287323136,2.8731e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/042-screen-raw-042-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-042,1,42,local,xindex,a,hotset-use-local,1,local,15.0039,5.00347,143172295,2.86146e+07,430495431,2.86922e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/042-screen-raw-042-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-042,1,43,cxl,xindex,a,hotset-use-target,1,remote,5.00037,5.00037,223589120,4.47145e+07,223589120,4.47145e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/043-screen-raw-042-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-042,1,43,cxl,xindex,a,hotset-use-target,1,remote,10.0002,4.99979,224434887,4.48888e+07,448024007,4.48017e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/043-screen-raw-042-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-042,1,43,cxl,xindex,a,hotset-use-target,1,remote,15.0034,5.00328,225041721,4.49789e+07,673065728,4.48608e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/043-screen-raw-042-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-055,1,46,local,xindex,a,hotset-use-local,1,local,5.00108,5.00108,141274624,2.82488e+07,141274624,2.82488e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/046-screen-raw-055-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-055,1,46,local,xindex,a,hotset-use-local,1,local,10.0004,4.99928,141323776,2.82688e+07,282598400,2.82588e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/046-screen-raw-055-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-055,1,46,local,xindex,a,hotset-use-local,1,local,15.0018,5.00139,139890631,2.79703e+07,422489031,2.81626e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/046-screen-raw-055-r01-local/logs/xindex_a_hotset-use-local_r1.log
