raw_id,design,status,static_fingerprint,selected_site_count,config_path,build_dir,build_log
raw-068,random-hybrid,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-068,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-068.log
raw-069,random-default,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-069,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-069.log
raw-070,random-worker-heavy,duplicate-static:raw-064,90+97+99,3,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-070.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-070,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-070.log
raw-071,random-default,duplicate-static:raw-055,68+69+71+90+97+98+99+100,8,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-071.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-071,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-071.log
raw-072,random-hybrid,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-072,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-072.log
raw-073,random-default,duplicate-static:raw-039,97+98,2,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-073.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-073,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-073.log
raw-074,random-flat,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-074,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-074.log
raw-075,random-hybrid,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-075,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-075.log
raw-076,random-sync-heavy,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-076,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-076.log
raw-077,random-flat,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-077,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-077.log
raw-078,random-escape-heavy,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-078,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-078.log
raw-079,random-escape-heavy,duplicate-static:raw-033,68+90+97+99,4,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-079.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-079,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-079.log
raw-080,random-default,duplicate-static:raw-028,97+98+99+100,4,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-080.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-080,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-080.log
