site_id,kind,function,file,line,callee,size_expr,estimated_bytes,score,role,group_id,selected,reasons,member_affinity,member_access_kind,member_access_depth
91,cxx-new-array,compact_phase_1,/home/shin/arbiter/benchmark/xindex/XIndex-H/xindex_group_impl.h,57,_Znam,%49,4096,7,rejected,0,no,"escapes-store;sync-atomic-or-volatile-store-same-function;pthread-worker-reachable;dynamic-size-excluded;hotset-rejected:expansion-none",0,,-1
92,cxx-new,compact_phase_1,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%192,4096,7,rejected,0,no,"escapes-store;sync-atomic-or-volatile-store-same-function;pthread-worker-reachable;dynamic-size-excluded;hotset-rejected:expansion-none",0,,-1
93,cxx-delete,compact_phase_1,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
94,cxx-new,compact_phase_1,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%367,4096,7,rejected,0,no,"escapes-store;sync-atomic-or-volatile-store-same-function;pthread-worker-reachable;dynamic-size-excluded;hotset-rejected:expansion-none",0,,-1
95,cxx-delete,compact_phase_1,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
96,cxx-delete,compact_phase_1,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
97,cxx-new,insert_ptr,/home/shin/arbiter/benchmark/xindex/XIndex-H/xindex_group_impl.h,149,_Znwm,96,96,14,seed,1,yes,"escapes-store;escapes-call;sync-atomic-rmw-or-cmpxchg-same-function;sync-atomic-or-volatile-store-same-function;sync-inline-asm-same-function;pthread-worker-reachable",0,,-1
98,cxx-new,insert_ptr,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,8,8,12,rejected,0,no,"escapes-store;sync-atomic-rmw-or-cmpxchg-same-function;sync-atomic-or-volatile-store-same-function;sync-inline-asm-same-function;pthread-worker-reachable;hotset-rejected:expansion-none",0,,-1
99,cxx-new,put,/home/shin/arbiter/benchmark/xindex/XIndex-H/xindex_group_impl.h,113,_Znwm,96,96,14,rejected,0,no,"escapes-store;escapes-call;sync-atomic-rmw-or-cmpxchg-same-function;sync-atomic-or-volatile-store-same-function;sync-inline-asm-same-function;pthread-worker-reachable;hotset-rejected:expansion-none",0,,-1
100,cxx-new,put,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,8,8,12,rejected,0,no,"escapes-store;sync-atomic-rmw-or-cmpxchg-same-function;sync-atomic-or-volatile-store-same-function;sync-inline-asm-same-function;pthread-worker-reachable;hotset-rejected:expansion-none",0,,-1
101,cxx-delete,put,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
